epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
92,2424.61,0.74283,1.26908,0.61595,0.96913,0.78414,0.70879,0.77666,0.52617,0.80057,0.62453,0.71013,0.39971,1.13629,2.33366,1.02037,1.13166,0.00031982,0.00031982,0.00031982
93,2452.52,0.7391,1.31387,0.60588,0.95838,0.78414,0.70879,0.77666,0.52617,0.80057,0.62453,0.71013,0.39971,1.13629,2.33366,1.02037,1.13166,0.00031784,0.00031784,0.00031784
94,2481.1,0.75415,1.29764,0.62188,0.98437,0.80875,0.7187,0.78601,0.53247,0.81676,0.64218,0.71309,0.40866,1.11826,2.34745,1.01107,1.12694,0.00031586,0.00031586,0.00031586
95,2510.3,0.70094,1.17568,0.57378,0.93089,0.80875,0.7187,0.78601,0.53247,0.81676,0.64218,0.71309,0.40866,1.11826,2.34745,1.01107,1.12694,0.00031388,0.00031388,0.00031388
96,2541.48,0.71827,1.23281,0.59692,0.9479,0.80346,0.76438,0.79631,0.53434,0.727,0.68788,0.70737,0.4144,1.10527,2.39212,1.00992,1.11741,0.0003119,0.0003119,0.0003119
97,2569.31,0.68748,1.2409,0.58222,0.94377,0.80346,0.76438,0.79631,0.53434,0.727,0.68788,0.70737,0.4144,1.10527,2.39212,1.00992,1.11741,0.00030992,0.00030992,0.00030992
98,2597.25,0.73739,1.32307,0.60164,0.96219,0.79092,0.76369,0.79292,0.52968,0.69736,0.66079,0.68598,0.40211,1.09509,2.44994,1.00498,1.12193,0.00030794,0.00030794,0.00030794
99,2625.94,0.71891,1.24022,0.57871,0.95491,0.79092,0.76369,0.79292,0.52968,0.69736,0.66079,0.68598,0.40211,1.09509,2.44994,1.00498,1.12193,0.00030596,0.00030596,0.00030596
100,2652.83,0.7495,1.25929,0.60379,0.97127,0.76693,0.73028,0.77945,0.53778,0.72228,0.66694,0.69528,0.39727,1.08149,2.43438,0.98073,1.12636,0.00030398,0.00030398,0.00030398
101,2679.61,0.73523,1.22778,0.61079,0.98371,0.76693,0.73028,0.77945,0.53778,0.72228,0.66694,0.69528,0.39727,1.08149,2.43438,0.98073,1.12636,0.000302,0.000302,0.000302
102,2709.39,0.71854,1.19135,0.57265,0.94848,0.79108,0.71998,0.77935,0.54549,0.73896,0.66897,0.70191,0.40956,1.07726,2.4426,0.99413,1.12376,0.00030002,0.00030002,0.00030002
103,2741.77,0.68732,1.17941,0.56641,0.94652,0.79108,0.71998,0.77935,0.54549,0.73896,0.66897,0.70191,0.40956,1.07726,2.4426,0.99413,1.12376,0.00029804,0.00029804,0.00029804
104,2773.7,0.71423,1.17433,0.58076,0.96987,0.75794,0.73596,0.78059,0.54343,0.74901,0.66895,0.72215,0.41458,1.08684,2.38649,0.98243,1.12425,0.00029606,0.00029606,0.00029606
105,2804.4,0.68232,1.1733,0.56627,0.94483,0.75794,0.73596,0.78059,0.54343,0.74901,0.66895,0.72215,0.41458,1.08684,2.38649,0.98243,1.12425,0.00029408,0.00029408,0.00029408
106,2833.29,0.71902,1.25413,0.595,0.97112,0.81347,0.70962,0.78706,0.5384,0.79506,0.64611,0.72561,0.41075,1.09469,2.36963,0.9855,1.12003,0.0002921,0.0002921,0.0002921
107,2862.91,0.72091,1.26535,0.58608,0.94625,0.81347,0.70962,0.78706,0.5384,0.79506,0.64611,0.72561,0.41075,1.09469,2.36963,0.9855,1.12003,0.00029012,0.00029012,0.00029012
108,2892,0.72668,1.20828,0.60228,0.98834,0.82803,0.70484,0.78998,0.53836,0.78137,0.6696,0.73874,0.40318,1.09989,2.38479,0.9788,1.11738,0.00028814,0.00028814,0.00028814
109,2921.98,0.7624,1.27251,0.61029,0.98268,0.82803,0.70484,0.78998,0.53836,0.78137,0.6696,0.73874,0.40318,1.09989,2.38479,0.9788,1.11738,0.00028616,0.00028616,0.00028616
110,2951.54,0.69071,1.10204,0.5603,0.93392,0.75058,0.7493,0.7857,0.52883,0.75065,0.68267,0.74277,0.40674,1.09906,2.487,1.00042,1.11555,0.00028418,0.00028418,0.00028418
111,2979.4,0.69564,1.20654,0.56313,0.94494,0.75058,0.7493,0.7857,0.52883,0.75065,0.68267,0.74277,0.40674,1.09906,2.487,1.00042,1.11555,0.0002822,0.0002822,0.0002822
112,3006.23,0.70094,1.16017,0.55873,0.94532,0.7302,0.71905,0.76412,0.52559,0.7339,0.68089,0.72779,0.41626,1.07676,2.49293,1.0205,1.10401,0.00028022,0.00028022,0.00028022
113,3032.84,0.72415,1.25046,0.60838,0.97387,0.7302,0.71905,0.76412,0.52559,0.7339,0.68089,0.72779,0.41626,1.07676,2.49293,1.0205,1.10401,0.00027824,0.00027824,0.00027824
114,3062.59,0.65802,1.19807,0.55831,0.9348,0.77336,0.7251,0.76107,0.53516,0.7353,0.70156,0.73033,0.41043,1.06253,2.38278,0.97468,1.10328,0.00027626,0.00027626,0.00027626
115,3095.91,0.71694,1.17988,0.58192,0.95227,0.77336,0.7251,0.76107,0.53516,0.7353,0.70156,0.73033,0.41043,1.06253,2.38278,0.97468,1.10328,0.00027428,0.00027428,0.00027428
116,3135.3,0.69526,1.12116,0.56488,0.95734,0.75483,0.75544,0.78043,0.5504,0.74375,0.70514,0.73251,0.41717,1.05934,2.34771,0.96287,1.10435,0.0002723,0.0002723,0.0002723
117,3170.47,0.67298,1.15404,0.56294,0.95082,0.75483,0.75544,0.78043,0.5504,0.74375,0.70514,0.73251,0.41717,1.05934,2.34771,0.96287,1.10435,0.00027032,0.00027032,0.00027032
118,3213.38,0.68648,1.11499,0.54814,0.93995,0.78953,0.7446,0.78821,0.55234,0.76486,0.70014,0.75475,0.42274,1.0615,2.34392,0.94159,1.11231,0.00026834,0.00026834,0.00026834
119,3248.47,0.69732,1.1804,0.55151,0.91881,0.78953,0.7446,0.78821,0.55234,0.76486,0.70014,0.75475,0.42274,1.0615,2.34392,0.94159,1.11231,0.00026636,0.00026636,0.00026636
120,3281.72,0.72334,1.19432,0.5797,0.97218,0.81499,0.72068,0.79044,0.5573,0.80456,0.68745,0.75146,0.42412,1.0671,2.33692,0.93462,1.11864,0.00026438,0.00026438,0.00026438
121,3313.33,0.69823,1.22942,0.55704,0.94226,0.81499,0.72068,0.79044,0.5573,0.80456,0.68745,0.75146,0.42412,1.0671,2.33692,0.93462,1.11864,0.0002624,0.0002624,0.0002624
122,3343.79,0.74609,1.30141,0.58594,0.95335,0.78443,0.75333,0.78471,0.55008,0.75398,0.71955,0.74654,0.42455,1.08196,2.31749,0.92898,1.12289,0.00026042,0.00026042,0.00026042
